TIME,VALUE,LABEL
115.3,297.077,D4+20c
115.58,111.278,A2+20c
115.9,264.666,C4+20c
116.04,220,A3
116.62,264.666,C4+20c
116.82,329.628,E4
117.06,220,A3
117.06,264.666,C4+20c
117.46,87.3071,F2
118.64,297.077,D4+20c
118.88,333.458,E4+20c
119.12,297.077,D4+20c
119.3,132.333,C3+20c
119.6,396.55,G4+20c
119.82,264.666,C4+20c
120.28,396.55,G4+20c
120.68,264.666,C4+20c
120.7,198.275,G3+20c
121.02,99.1376,G2+20c
121.66,396.55,G4+20c
121.68,198.275,G3+20c
122.06,297.077,D4+20c
122.14,264.666,C4+20c
122.3,198.275,G3+20c
122.58,333.458,E4+20c
122.98,111.278,A2+20c
123.12,529.331,C5+20c
123.28,264.666,C4+20c
123.28,999.244,B5+20c
123.44,529.331,C5+20c
123.54,222.556,A3+20c
123.76,264.666,C4+20c
123.76,329.628,E4
123.96,264.666,C4+20c
123.98,587.33,D5
124.02,523.251,C5
124.22,783.991,G5
124.44,783.991,G5
124.48,220,A3
124.52,523.251,C5
124.64,267.741,C4+40c
124.78,333.458,E4+20c
124.82,88.3215,F2+20c
125.02,529.331,C5+20c
125.14,264.666,C4+20c
125.34,529.331,C5+20c
125.68,529.331,C5+20c
126.06,297.077,D4+20c
126.26,333.458,E4+20c
126.5,88.3215,F2+20c
126.5,297.077,D4+20c
126.7,130.813,C3
126.9,659.255,E5
126.96,999.244,B5+20c
126.98,396.55,G4+20c
127.12,659.255,E5
127.22,264.666,C4+20c
127.26,666.915,E5+20c
127.62,659.255,E5
127.68,396.55,G4+20c
127.8,659.255,E5
127.82,132.333,C3+20c
128.16,264.666,C4+20c
128.16,659.255,E5
128.38,297.077,D4+20c
128.58,297.077,D4+20c
128.7,99.1376,G2+20c
128.96,594.154,D5+20c
129.04,391.995,G4
129.12,587.33,D5
129.52,264.666,C4+20c
129.58,529.331,C5+20c
129.96,333.458,E4+20c
130.34,111.278,A2+20c
130.46,1058.66,C6+20c
130.64,264.666,C4+20c
130.8,1058.66,C6+20c
130.92,220,A3
131.3,793.1,G5+20c
131.32,264.666,C4+20c
131.56,222.556,A3+20c
131.68,793.1,G5+20c
131.82,220,A3
132,264.666,C4+20c
132.16,88.3215,F2+20c
132.74,880,A5
133.66,333.458,E4+20c
133.88,297.077,D4+20c
134.14,130.813,C3
134.32,391.995,G4
134.56,890.225,A5+20c
134.6,264.666,C4+20c
134.62,1188.31,D6+20c
135,391.995,G4
135.16,793.1,G5+20c
135.28,987.767,B5
135.52,264.666,C4+20c
135.64,396.55,G4+20c
135.74,297.077,D4+20c
135.86,99.1376,G2+20c
136.34,297.077,D4+20c
136.42,396.55,G4+20c
136.46,200.579,G3+40c
136.6,391.995,G4
136.92,264.666,C4+20c
137.16,297.077,D4+20c
137.36,333.458,E4+20c
137.72,111.278,A2+20c
138.04,264.666,C4+20c
138.34,1349.33,E6+40c
138.5,890.225,A5+20c
138.52,220,A3
139.18,264.666,C4+20c
139.58,88.3215,F2+20c
141.04,329.628,E4
141.3,297.077,D4+20c
141.52,130.813,C3
141.74,396.55,G4+20c
141.94,1058.66,C6+20c
142.02,264.666,C4+20c
142.22,264.666,C4+20c
142.4,67.7129,C#2-40c
142.44,396.55,G4+20c
142.6,67.7129,C#2-40c
142.6,529.331,C5+20c
142.7,396.55,G4+20c
142.7,793.1,G5+20c
142.76,67.7129,C#2-40c
142.92,783.991,G5
142.96,264.666,C4+20c
143.18,100.289,G2+40c
143.2,333.458,E4+20c
143.8,396.55,G4+20c
144.52,264.666,C4+20c
145.2,111.278,A2+20c
145.38,529.331,C5+20c
146.5,119.265,A#2+40c
148.36,133.87,C3+40c
148.38,333.458,E4+20c
152.52,110,A2
152.52,113.879,A#2-40c
152.62,264.666,C4+20c
152.62,396.55,G4+20c
153.88,119.265,A#2+40c
154.02,267.741,C4+40c
154.02,297.077,D4+20c
156.44,132.333,C3+20c
156.5,333.458,E4+20c
